Dataset,Predictor,Coder,Raw_Size_Bytes,BitPacked_Size_Bytes,Final_Size_Bytes,Total_Ratio,BitPack_Ratio,Neural_Gain,Compress_Speed_MBs,Decompress_Speed_MBs
ECG5000_Proxy,Zero,Huffman,80000,25047,19993,4.0014,3.1940,1.2528,5.17,5.08
ECG5000_Proxy,Zero,Arithmetic,80000,25047,19993,4.0014,3.1940,1.2528,6.34,4.80
ECG5000_Proxy,Heuristic,Huffman,80000,25047,19993,4.0014,3.1940,1.2528,5.57,3.92
ECG5000_Proxy,Heuristic,Arithmetic,80000,25047,19993,4.0014,3.1940,1.2528,6.31,4.82
ECG5000_Proxy,Neural,Huffman,80000,25047,19993,4.0014,3.1940,1.2528,6.60,3.98
ECG5000_Proxy,Neural,Arithmetic,80000,25047,19993,4.0014,3.1940,1.2528,6.01,4.87
ECG5000_Proxy,Hybrid,Huffman,80000,25047,19993,4.0014,3.1940,1.2528,6.11,4.62
ECG5000_Proxy,Hybrid,Arithmetic,80000,25047,19993,4.0014,3.1940,1.2528,6.06,4.82
ETTh1,Zero,Huffman,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Zero,Arithmetic,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Heuristic,Huffman,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Heuristic,Arithmetic,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Neural,Huffman,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Neural,Arithmetic,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Hybrid,Huffman,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ETTh1,Hybrid,Arithmetic,69680,25302,25302,2.7539,2.7539,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Zero,Huffman,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Zero,Arithmetic,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Heuristic,Huffman,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Heuristic,Arithmetic,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Neural,Huffman,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Neural,Arithmetic,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Hybrid,Huffman,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
ItalyPowerDemand_Proxy,Hybrid,Arithmetic,80000,17543,17543,4.5602,4.5602,1.0000,N/A,N/A
